"codice-isil";"codice-sbn";"denominazione";"indirizzo";"frazione";"cap";"comune";"codice istat comune";"provincia";"regione";"codice istat provincia";"latitudine";"longitudine";"telefono";"fax";"email";"url"
"IT-AG0037";"AGR20";"Biblioteca Comunale";"Via Omero";"";"92020";"San Giovanni Gemini";"084036";"Agrigento";"SICILIA";"084";"37,6304656";"13,6498055";"+39 0922900082";"+39 0922903336";"thelibrarians010@gmail.com";""
"IT-AG0038";"";"Biblioteca comunale 'Domenico Iacono'";"Piazza Umberto I 11";"";"92020";"Sant'Angelo Muxaro";"084039";"Agrigento";"SICILIA";"084";"37,4803233";"13,5461917";"+39 0922919518";"+39 0922919805";"protocollo@comune.santangelomuxaro.ag.it";""
"IT-AG0039";"AGR22";"Biblioteca comunale 'Elsa Morante'";"Via Regione Siciliana 20";"";"92018";"Santa Margherita di Belice";"084038";"Agrigento";"SICILIA";"084";"37,6966292";"13,015239";"+39 092533403";"+39 092533403";"biblioteca@comune.santamargheritadibelice.ag.it";""
"IT-AG0040";"";"Biblioteca comunale G. Ansalone";"Piazza San Giordano Ansalone 1";"";"92020";"Santo Stefano Quisquina";"084040";"Agrigento";"SICILIA";"084";"37,623834";"13,4912204";"+39 0922982296";"";"servizi-sociali@comune.santostefanoquisquina.ag.it";"https://www.comune.santostefanoquisquina.ag.it/"
"IT-AG0042";"AGR23";"Biblioteca Comunale ""Aurelio Cassar""";"Via Santa Caterina 6";"";"92019";"Sciacca";"084041";"Agrigento";"SICILIA";"084";"37,5079397";"13,0863207";"+39 092520111";"+39 092220447";"biblioteca@comunedisciacca.it";"https://comune.sciacca.ag.it/biblioteca-comunale/"
"IT-AG0043";"";"Biblioteca comunale Giuseppe Antonio Musso";"via Vittorio Emanuele, 123";"";"92020";"Villafranca Sicula";"084043";"Agrigento";"SICILIA";"084";"37,5872593";"13,2903659";"+39 0925550041";"";"affarisociali@comune.villafrncasicula.ag.it";""
"IT-AG0044";"";"Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto";"Presso Scuola elementare - Via S. Giuseppe";"Montaperto";"92010";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3111882";"13,576956";"+39 0922418164";"";"";""
"IT-AG0045";"";"Biblioteca comunale - sezione di Villaseta";"via XX Settembre snc";"Villaseta";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,2985162";"13,5623256";"+39 0922597864";"";"";"https://www.comune.agrigento.it/la-citta/biblioteche/"
"IT-AG0051";"AGR02";"Biblioteca Comunale Falcone - Borsellino";"Piazza Luigi Ingo 6";"";"92010";"Alessandria della Rocca";"084002";"Agrigento";"SICILIA";"084";"37,5321098";"13,4362895";"+39 0922985337";"+39 0922985337";"servizisocioculturali@comune.alessandriadellarocca.ag.it";"www.comune.alessandriadellarocca.ag.it"
"IT-AG0054";"";"Biblioteca comunale";"Via Nazionale 1";"";"92010";"Burgio";"084005";"Agrigento";"SICILIA";"084";"37,6012624";"13,2869338";"+39 092565016";"";"comunediburgio@virgilio.it";"https://www.comune.burgio.ag.it/"
"IT-AG0055";"";"Biblioteca comunale";"piazza San Vincenzo Ferreri, 1";"";"92010";"Calamonaci";"084006";"Agrigento";"SICILIA";"084";"37,5255032";"13,2914232";"+39 092568377";"+39 092568904";"";"https://www.comune.calamonaci.ag.it/"
"IT-AG0058";"AGR29";"Biblioteca comunale Centro Culturale San Domenico";"Piazza Dante";"";"92024";"Canicattì";"084011";"Agrigento";"SICILIA";"084";"37,3573916";"13,8474024";"+39 0922734503";"+39 0922734503";"p.curtopelle@comune.canicatti.ag.it";"http://www.comune.canicatti.ag.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/428"
"IT-AG0060";"";"Biblioteca Comunale Francesco Lo Bue";"Via G. Matteotti";"";"92025";"Casteltermini";"084012";"Agrigento";"SICILIA";"084";"37,5375563";"13,6407823";"+39 0922916615";"";"biblioteca@comune.casteltermini.ag.it";"www.comune.casteltermini.ag.it"
"IT-AG0062";"";"Biblioteca IBBY Lampedusa";"Via Roma";"";"92010";"Lampedusa e Linosa";"084020";"Agrigento";"SICILIA";"084";"35,5023056";"12,6084917";"+39 3491614418";"";"silent.lampedusa@ibbyitalia.it";"https://www.facebook.com/BiblioLampedusa/"
"IT-AG0064";"AGR30";"Biblioteca comunale ""Salvatore Ruvolo""";"Piazza della Repubblica";"";"92010";"Montevago";"084025";"Agrigento";"SICILIA";"084";"37,7025429";"12,9902897";"+39 092539633";"";"biblioteca@comune.montevago.ag.it";"http://www.comune.montevago.ag.it/montevago/hh/index.php"
"IT-AG0065";"AGR13";"Biblioteca Comunale Giovanni Falcone";"Via Carlo Marx 3";"";"92020";"Palma di Montechiaro";"084027";"Agrigento";"SICILIA";"084";"37,19741080000001";"13,7581674";"+39 0922968399";"+39 0922968399";"biblioteca@comune.palmadimontechiaro.ag.it";"www.comune.palmadimontechiaro.ag.it"
"IT-AG0066";"AGR14";"Biblioteca comunale";"Via F. Crispi 4";"";"92014";"Porto Empedocle";"084028";"Agrigento";"SICILIA";"084";"37,2939767";"13,5024222";"+39 0922531787";"";"c.assello@comune.portoempedocle.ag.it";"www.comune.portoempedocle.ag.it"
"IT-AG0067";"AGR15";"Biblioteca comunale";"via Messana";"";"92020";"Racalmuto";"084029";"Agrigento";"SICILIA";"084";"37,4069215";"13,7327047";"0922941852";"";"";""
"IT-AG0068";"";"Biblioteca popolare Virtus Matrice";"Via della Repubblica 2";"";"92020";"Racalmuto";"084029";"Agrigento";"SICILIA";"084";"37,40868";"13,732503";"+39 0922948028";"";"";""
"IT-AG0069";"";"Biblioteca comunale";"Via Nazionale 111";"";"92015";"Raffadali";"084030";"Agrigento";"SICILIA";"084";"37,4097845";"13,5275723";"+39 0922475803";"";"";""
"IT-AG0070";"AGR16";"Biblioteca comunale ""Giuseppe Zagarrio""";"Via Delle Scuole 1";"";"92029";"Ravanusa";"084031";"Agrigento";"SICILIA";"084";"37,2656209";"13,9742634";"+39 0922836319";"";"biblioteca@comune.ravanusa.ag.it";"www.comune.ravanusa.ag.it"
"IT-AG0071";"AGR18";"Biblioteca comunale Antonio Gramsci";"Via Don Minzoni 11";"";"92016";"Ribera";"084033";"Agrigento";"SICILIA";"084";"37,502258";"13,265373";"+39 0925561256";"";"biblioteca@comunediribera.ag.it";"http://www.comune.ribera.ag.it/flex/cm/pages/serveblob.php/l/it/idpagina/3722"
"IT-AG0072";"AGR21";"Biblioteca comunale di Santa Elisabetta";"Corso Umberto 92";"";"92020";"Santa Elisabetta";"084037";"Agrigento";"SICILIA";"084";"37,431386";"13,558815";"+39 0922479296";"";"bibliotecacomunale4@gmail.com";"http://opacagrigento.nexusit.it/openweb/agr021/"
"IT-AG0075";"";"Biblioteca comunale";"Piazza Umbeto I, 8";"";"92010";"Siculiana";"084042";"Agrigento";"SICILIA";"084";"37,3369124";"13,4203497";"+39 0922818438";"";"protocollo@comune.siculiana.ag.it";""
"IT-AG0078";"AGR24";"Biblioteca della Provincia regionale di Agrigento Gaspare Ambrosini";"Piazzale Aldo Moro 1";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3104962";"13,585672";"+39 0922593365";"";"biblioteca@provincia.agrigento.it";"www.provincia.agrigento.it"
"IT-AG0079";"";"Biblioteca comunale - sezione di Fontanelle";"Via Fontanelle, 33";"Fontanelle";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3377724";"13,5829697";"+39 0922604910";"";"servizio.protocollo@comune.agrigento.it";"https://www.comune.agrigento.it/la-citta/biblioteche/"
"IT-AG0085";"AGR28";"Biblioteca Lucchesiana";"via DUOMO, 94";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3135702";"13,577717";"092222217";"";"biblioteca.lucchesiana@gmail.com";"https://www.facebook.com/bibliotecalucchesiana/"
"IT-AG0089";"AGR10";"Biblioteca comunale L. Vitali";"Piazza Matteotti 10";"";"92027";"Licata";"084021";"Agrigento";"SICILIA";"084";"37,1007135";"13,9369706";"+39 0922868228";"+39 09221837304";"bibliotecacomunale@comune.licata.ag.it";"www.facebook.com/Biblioteca-Comunale-Luigi-Vitali-134902997116969/"
"IT-AG0090";"AGR05";"Biblioteca comunale";"Via Trieste snc";"";"snc";"Campobello di Licata";"084010";"Agrigento";"SICILIA";"084";"37,25239120000001";"13,9190892";"+39 0922838730";"";"protocollo@comune.campobellodilicata.ag.it";"www.comune.campobellodilicata.ag.it"
"IT-AG0091";"PALBA";"Biblioteca Museo Luigi Pirandello";"Via Imera 50";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3124703";"13,5857746";"+39 0922622135";"+39 092221774";"parcodeitempli.uo5@regione.sicilia.it";"www.regione.sicilia.it/beniculturali/dirbenicult"
"IT-AG0093";"AGR26";"Biblioteca della Fondazione Leonardo Sciascia";"Viale della Vittoria 3";"";"92020";"Racalmuto";"084029";"Agrigento";"SICILIA";"084";"37,40608170000001";"13,7309644";"+39 0922941993";"+39 0922941993";"bibliotecafondazionesciascia@gmail.com";"https://www.fondazioneleonardosciascia.it/?page_id=12423"
"IT-AG0095";"PAL01";"Biblioteca dell'Istituto Comprensivo Anna Frank";"via Matteo Cimarra, 5";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3208136";"13,5821041";"+39 0922603198";"+39 0922603167";"agic820005@istruzione.it";""
"IT-AG0096";"PAL02";"Biblioteca del Circolo didattico S.G. Bosco";"Via Dante 258";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,311634";"13,5705384";"+39 092220717";"";"sg.bosco@tin.it";""
"IT-AG0097";"PAL25";"Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo";"via F. Quartararo Pittore snc";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3130698";"13,5799543";"+39 0922604313";"+39 0922610148";"agis02300r@istruzione.it";"http://lnx.ipsctgallo.it/nsw/"
"IT-AG0098";"";"Biblioteca Comunale";"Corso Vittorio Veneto snc";"";"snc";"Camastra";"084008";"Agrigento";"SICILIA";"084";"37,2534645";"13,792158";"+39 0922954011";"+39 0922950680";"incardonarosa@virgilio.it";"www.comune.camastra.ag.it"
"IT-AG0099";"AGR25";"Biblioteca della Fondazione Giovanni Guarino Amella";"Contrada Montagna";"Villa del Buon Riposo";"92024";"Canicattì";"084011";"Agrigento";"SICILIA";"084";"37,3581785";"13,8506902";"+39 0922855200";"+39 0916197250";"fondazioneguarinoamella@gmail.com";"https://www.fondazioneguarinoamella.org/la-biblioteca.html"
"IT-AG0134";"";"Biblioteca del Polo territoriale universitario di Agrigento. Università degli studi di Palermo";"Via Ugo La Malfa";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3020872850997";"13,5929968772461";"+39 0922403586";"";"bibliopolo.ag@unipa.it";"http://www.unipa.it/biblioteche/le-biblioteche/Poli-didattici-bibliotecari/Biblioteca-del-Polo-Didattico-di-Agrigento/"
"IT-AG0135";"";"Biblioteca scolastica ""Onofrio Lo Dico""";"Via Empedocle 169";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3097086667542";"13,5832845398811";"+39 092220335";"+39 0922553585";"agpc010001@istruzione.it";"http://www.liceoempedocle.it/"
"IT-AG0136";"";"Bibliofonoteca “Ettore Gaiezza” del Conservatorio ""Arturo Toscanini""";"Corso Umberto I, 359";"";"92016";"Ribera";"084033";"Agrigento";"SICILIA";"084";"37,50526498929279";"13,273916126458758";"+39 092561280";"";"";"https://www.conservatoriotoscanini.it/regolamento-della-biblioteca/"
"IT-AL0001";"TO036";"Biblioteca civica di Acqui Terme";"Via Maggiorino Ferraris 15";"";"15011";"Acqui Terme";"006001";"Alessandria";"PIEMONTE";"006";"44,6781703";"8,465604599999999";"+39 0144770267";"+39 014457627";"al0001@biblioteche.ruparpiemonte.it";"http://biblioteca.comune.acquiterme.al.it/"
"IT-AL0002";"TO041";"Biblioteca civica Francesca Calvo";"Piazza Vittorio Veneto 1";"";"15121";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9114484";"8,6193907";"+39 031515911";"+39 0131515902";"biblioteca.civica@comune.alessandria.it";"http://www.comune.alessandria.it"
"IT-AL0003";"TO0X1";"Biblioteca dell'Archivio di Stato di Alessandria";"Via Giorgio Solero 43";"";"15121";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,91380059999999";"8,626132799999999";"+39 0131252794";"";"as-al@cultura.gov.it";"http://www.asalessandria.beniculturali.it/index.php?it/99/biblioteca"
"IT-AL0004";"TO0GQ";"Biblioteca diocesana del Seminario vescovile";"Via Inviziati, 1";"";"15121";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9169522";"8,6130294";"+39 334.1810136";"";"bibliotecaseminario@diocesialessandria.it";""
"IT-AL0006";"";"Biblioteca delle Societa' di storia, arte e archeologia per le province di Alessandria e Asti";"Via Plana 42";"";"15100";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9148321";"8,6186655";"+39 0131264497";"";"";""
"IT-AL0007";"TO042";"Biblioteca della Camera di Commercio di Alessandria-Asti, Sede Centrale Alessandria";"Via Vochieri 58";"";"15121";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9149822";"8,611836799999999";"+39 0131313350";"+39 013143186";"alain.bocchio@aa.camcom.it";"www.al.camcom.gov.it/studi"
"IT-AL0008";"";"Biblioteca civica";"Via Roma 6";"";"15021";"Alfiano Natta";"006004";"Alessandria";"PIEMONTE";"006";"45,0470654";"8,2085733";"+39 0141922123";"+39 0141922123";"info@comune.alfianonatta.al.it";"www.comune.alfianonatta.it"
"IT-AL0009";"TO0QM";"Biblioteca civica";"Piazza Guacchione 1";"";"15010";"Alice Bel Colle";"006005";"Alessandria";"PIEMONTE";"006";"44,7256367";"8,4514592";"+39 014474104";"+39 0144745942";"info@comune.alicebelcolle.al.it";"www.comune.alicebelcolle.al.it"
"IT-AL0011";"TO0K3";"Biblioteca civica ""Gaetano Poggi""";"Piazza S. Bertelli 19";"";"15061";"Arquata Scrivia";"006009";"Alessandria";"PIEMONTE";"006";"44,6865702";"8,88577239999995";"+39 0143600427";"+39 0143600417";"biblioteca@comune.arquatascrivia.al.it";"https://www.comune.arquatascrivia.al.it/"
"IT-AL0014";"TO0Q1";"Biblioteca civica";"Corso Carlo Testa 3";"";"15012";"Bistagno";"006017";"Alessandria";"PIEMONTE";"006";"44,6602097";"8,3699538";"+39 014479106";"+39 014479865";"comune@comune.bistagno.al.it";"https://www.comune.bistagno.al.it/it-it/home"
"IT-AL0015";"TO0KQ";"Biblioteca civica";"Piazza Europa 13";"";"15060";"Borghetto di Borbera";"006018";"Alessandria";"PIEMONTE";"006";"44,7309963";"8,9452855";"+39 014369101";"+39 0143697298";"segreteria@comune.borghettodiborbera.al.it";""
"IT-AL0016";"";"Biblioteca civica Pio e Ildegarda Occella";"Via L. Verde 2";"";"15062";"Bosco Marengo";"006021";"Alessandria";"PIEMONTE";"006";"44,822143";"8,676652";"+39 031299342";"+39 0131299686";"info@comune.boscomarengo.al.it";"www.comune.boscomarengo.al.it"
"IT-AL0017";"";"Biblioteca civica ""Giancarlo Merlo""";"Via Umberto I";"";"15060";"Bosio";"006022";"Alessandria";"PIEMONTE";"006";"44,6469431";"8,7911112";"+39 0143684131";"";"info@comune.bosio.al.it";""
"IT-AL0020";"";"Biblioteca G. Ferraro";"Piazza Vittorio Emanuele II 7";"";"15071";"Carpeneto";"006033";"Alessandria";"PIEMONTE";"006";"44,6771406";"8,6065492";"+39 014385123";"";"carpeneto@ruparpiemonte.it";"www.comune.carpeneto.it"
"IT-AL0021";"";"Biblioteca civica Barco Fedele";"Piazza San Carlo 8";"";"15072";"Casal Cermelli";"006037";"Alessandria";"PIEMONTE";"006";"44,8351618";"8,6260029";"+39 0131279575";"";"comunedicasalcermelli.co@tin.it";""
"IT-AL0024";"TO0L2";"Biblioteca del Seminario vescovile";"Piazza Nazari di Calabiana 1";"";"15033";"Casale Monferrato";"006039";"Alessandria";"PIEMONTE";"006";"45,1375789";"8,4549355";"+39 0142.452219";"";"biblsem@virgilio.it";"http://https://www.beweb.chiesacattolica.it/istituticulturali/istituto/1382/Casale+Monferrato+%7C+Biblioteca+del+Seminario+vescovile"
"IT-AL0026";"";"Biblioteca civica";"Piazza XXVI Aprile 8";"";"15063";"Cassano Spinola";"006191";"Alessandria";"PIEMONTE";"006";"44,766162";"8,863507";"+39 014347117";"+39 0143477285";"gcvaccari@libero.it";""
"IT-AL0027";"TO0Q2";"Biblioteca civica ""Ettore Amerio""";"Piazzetta San Giacomo 1";"";"15016";"Cassine";"006043";"Alessandria";"PIEMONTE";"006";"44,748377";"8,524317";"+39 0144715376";"+39 0144714258";"segreteria@comune.cassine.al.it";"www.comune.cassine.al.it"
"IT-AL0030";"TO0UK";"Biblioteca civica Francesco Poggio";"Via XXV Aprile 134";"";"15073";"Castellazzo Bormida";"006047";"Alessandria";"PIEMONTE";"006";"44,845487";"8,576870999999999";"+39 0131272832";"+39 0131270774";"biblioteca@comunecastellazzobormida.it";"https://www.comune.castellazzobormida.al.it/it-it/servizi/vivere-il-tempo-libero-e-la-cultura-c/biblioteca-132-35-1-bab4c5adfc74c53e0771c83e6543fd2a"
"IT-AL0031";"TO0KW";"BIBLIOTECA CIVICA COMUNALE";"Piazza G. Marconi 1";"";"15060";"Castelletto d'Orba";"006049";"Alessandria";"PIEMONTE";"006";"44,6703782";"8,7298766";"+39 0143830032";"";"ragioneria@comune.castellettodorba.al.it";"www.comune.castellettodorba.al.it"
"IT-AL0033";"TO0KJ";"Biblioteca comunale Pier Angelo Soldini";"Via Solferino 3";"";"15053";"Castelnuovo Scrivia";"006053";"Alessandria";"PIEMONTE";"006";"44,9808604";"8,88033629999996";"+39 0131826754";"";"biblioteca@comune.castelnuovoscrivia.al.it";"https://www.comune.castelnuovoscrivia.al.it/"
"IT-AL0034";"";"Biblioteca civica";"Piazza Boccasso 3";"";"15070";"Castelspina";"006054";"Alessandria";"PIEMONTE";"006";"44,8042668";"8,5829296";"+39 0131700144";"";"segreteria@comune.castelspina.al.it";""
"IT-AL0036";"TO0EB";"Biblioteca civica";"Via Francia 12";"";"15034";"Cella Monte";"006056";"Alessandria";"PIEMONTE";"006";"45,0741078";"8,3918688";"+39 0142488161";"";"eventi@comune.cellamonte.al.it";"www.comune.cellamonte.al.it"
"IT-AL0037";"";"Biblioteca civica";"Via Roma 32";"";"15020";"Cereseto";"006057";"Alessandria";"PIEMONTE";"006";"45,0861082";"8,3168437";"+39 0142940185";"+39 0142940185";"demografici@comune.cereseto.al.it";""
"IT-AL0038";"TO0E7";"Biblioteca civica";"Piazza Australia 5";"";"15030";"Conzano";"006061";"Alessandria";"PIEMONTE";"006";"45,020452";"8,456127";"+39 0142925132";"";"comune@comune.conzano.al.it";"www.comune.conzano.al.it"
"IT-AL0040";"";"Biblioteca civica";"Via San Pio V 3";"";"15065";"Frugarolo";"006075";"Alessandria";"PIEMONTE";"006";"44,8379796";"8,6805468";"+39 0131296022";"+39 0131296023";"info@comune.frugarolo.al.it";""
"IT-AL0041";"";"Biblioteca civica";"Via Michele Pavaranza 37";"";"15043";"Fubine Monferrato";"006076";"Alessandria";"PIEMONTE";"006";"44,9648757";"8,4277281";"+39 01317781211";"+39 0131778700";"biblioteca@comunedifubine.it";"https://www.comune.fubinemonferrato.al.it/Default.aspx"
"IT-AL0046";"TO0KC";"Biblioteca civica Giuseppe Boffito";"Via G. Garibaldi 44";"";"15066";"Gavi";"006081";"Alessandria";"PIEMONTE";"006";"44,6889274";"8,8036272";"+39 0143642526";"";"bibliotecaboffito@comunegavi.it";"www.comune.gavi.al.it"
"IT-AL0047";"TO0EU";"Biblioteca comunale";"Via Pasquarelli 2";"";"15036";"Giarole";"006082";"Alessandria";"PIEMONTE";"006";"45,0594224";"8,56782720000001";"+39 014268123";"+39 014268388";"biblioteca.giarole@libero.it";"http://www.comune.giarole.al.it/"
"IT-AL0048";"";"Biblioteca civica";"Piazza Canto degli Italiani 2";"";"00002";"Mirabello Monferrato";"006094";"Alessandria";"PIEMONTE";"006";"45,0358204";"8,5233311";"+39 014263121";"";"info@comune.mirabellomonferrato.al.it";"www.comune.mirabellomonferrato.al.it"
"IT-AL0050";"";"Biblioteca civica";"Via Raggi 10";"";"15074";"Molare";"006095";"Alessandria";"PIEMONTE";"006";"44,6198401";"8,5997789";"+39 0143888121";"";"info@comune.molare.al.it";"www.comune.molare.it"
